Time,Diet,N,Mean,SD
0.0,1,20,41.4,0.99
0.0,2,10,40.7,1.49
0.0,3,10,40.8,1.03
0.0,4,10,41.0,1.05
2.0,1,20,47.25,4.28
2.0,2,10,49.4,2.88
2.0,3,10,50.4,2.41
2.0,4,10,51.8,1.93
4.0,1,19,56.47,4.13
4.0,2,10,59.8,2.3
4.0,3,10,62.2,2.78
4.0,4,10,64.5,2.55
6.0,1,19,66.79,7.76
6.0,2,10,75.4,4.17
6.0,3,10,77.9,5.7
6.0,4,10,83.9,5.07
8.0,1,19,79.68,13.78
8.0,2,10,91.7,14.8
8.0,3,10,98.4,12.35
8.0,4,10,105.6,9.34
10.0,1,19,93.05,22.54
10.0,2,10,108.5,24.3
10.0,3,10,117.1,20.19
10.0,4,10,126.0,11.43
12.0,1,19,108.53,32.62
12.0,2,10,131.3,37.46
12.0,3,10,144.4,27.07
12.0,4,10,151.4,15.28
14.0,1,18,123.39,37.38
14.0,2,10,141.9,43.7
14.0,3,10,164.5,34.5
14.0,4,10,161.8,15.73
16.0,1,17,144.65,45.04
16.0,2,10,164.7,52.82
16.0,3,10,197.4,44.58
16.0,4,10,182.0,25.3
18.0,1,17,158.94,49.22
18.0,2,10,187.7,63.33
18.0,3,10,233.1,57.59
18.0,4,10,202.9,33.56
20.0,1,17,170.41,55.44
20.0,2,10,205.6,70.25
20.0,3,10,258.9,65.24
20.0,4,9,233.89,37.57
21.0,1,16,177.75,58.7
21.0,2,10,214.7,78.14
21.0,3,10,270.3,71.62
21.0,4,9,238.56,43.35
