,B,SE,z,p
Intercept,37.8622,3.1252,12.1152,0.0
C(Diet)[T.2],-0.1821,5.4,-0.0337,0.9731
C(Diet)[T.3],0.9617,5.4,0.1781,0.8586
C(Diet)[T.4],-1.6224,5.403,-0.3003,0.764
Time,4.9171,0.8466,5.8081,0.0
Time:C(Diet)[T.2],0.8931,1.4536,0.6144,0.5389
Time:C(Diet)[T.3],0.1404,1.4536,0.0966,0.923
Time:C(Diet)[T.4],3.2579,1.4564,2.237,0.0253
Time2,0.0672,0.0194,3.473,0.0005
Time2:C(Diet)[T.2],0.0631,0.0319,1.975,0.0483
Time2:C(Diet)[T.3],0.2291,0.0319,7.1746,0.0
Time2:C(Diet)[T.4],-0.0032,0.0325,-0.0974,0.9224
Group Var,1.0635,0.2986,3.5614,0.0004
Group x Time Cov,-0.2913,0.0728,-4.0046,0.0001
Time Var,0.0902,0.0202,4.4602,0.0
