,B,SE,CI_low,CI_high,z,p
Intercept,31.5143,6.1164,19.5265,43.5021,5.1525,0.0
C(Diet)[T.2],-2.8807,10.5479,-23.5543,17.7928,-0.2731,0.7848
C(Diet)[T.3],-13.264,10.5479,-33.9375,7.4096,-1.2575,0.2086
C(Diet)[T.4],-0.4016,10.5565,-21.0919,20.2887,-0.038,0.9697
Time,6.7115,0.2584,6.205,7.218,25.9721,0.0
Time:C(Diet)[T.2],1.8977,0.4284,1.058,2.7374,4.4294,0.0
Time:C(Diet)[T.3],4.7114,0.4284,3.8717,5.5511,10.997,0.0
Time:C(Diet)[T.4],2.9506,0.434,2.1,3.8011,6.7989,0.0
Group Var,0.8483,0.2031,0.4503,1.2463,4.1776,0.0
