Diet,Comparison,Mean_Diff,t,df,p_corrected,Cohen_d
1,Time 0 vs 2,6.31,7.07,15,0.0002,1.767
1,Time 0 vs 4,15.12,15.95,15,0.0,3.988
1,Time 0 vs 6,26.12,14.53,15,0.0,3.633
1,Time 0 vs 8,40.0,12.02,15,0.0,3.005
1,Time 0 vs 10,55.69,10.72,15,0.0,2.681
1,Time 0 vs 12,72.88,9.56,15,0.0,2.389
1,Time 0 vs 14,85.75,9.28,15,0.0,2.319
1,Time 0 vs 16,104.25,8.99,15,0.0,2.248
1,Time 0 vs 18,118.94,9.41,15,0.0,2.353
1,Time 0 vs 20,131.69,9.39,15,0.0,2.346
1,Time 0 vs 21,136.19,9.25,15,0.0,2.313
2,Time 0 vs 2,8.7,11.43,9,0.0001,3.616
2,Time 0 vs 4,19.1,22.49,9,0.0,7.113
2,Time 0 vs 6,34.7,23.27,9,0.0,7.359
2,Time 0 vs 8,51.0,10.53,9,0.0001,3.329
2,Time 0 vs 10,67.8,8.62,9,0.0005,2.727
2,Time 0 vs 12,90.6,7.53,9,0.0016,2.383
2,Time 0 vs 14,101.2,7.22,9,0.0022,2.285
2,Time 0 vs 16,124.0,7.32,9,0.002,2.316
2,Time 0 vs 18,147.0,7.25,9,0.0021,2.294
2,Time 0 vs 20,164.9,7.34,9,0.0019,2.321
2,Time 0 vs 21,174.0,6.97,9,0.0029,2.203
3,Time 0 vs 2,9.6,13.37,9,0.0,4.228
3,Time 0 vs 4,21.4,22.64,9,0.0,7.16
3,Time 0 vs 6,37.1,20.29,9,0.0,6.416
3,Time 0 vs 8,57.6,14.52,9,0.0,4.591
3,Time 0 vs 10,76.3,11.91,9,0.0,3.765
3,Time 0 vs 12,103.6,12.05,9,0.0,3.811
3,Time 0 vs 14,123.7,11.32,9,0.0001,3.581
3,Time 0 vs 16,156.6,11.13,9,0.0001,3.519
3,Time 0 vs 18,192.3,10.61,9,0.0001,3.354
3,Time 0 vs 20,218.1,10.64,9,0.0001,3.364
3,Time 0 vs 21,229.5,10.21,9,0.0001,3.227
4,Time 0 vs 2,11.0,15.14,8,0.0,5.047
4,Time 0 vs 4,23.56,30.76,8,0.0,10.253
4,Time 0 vs 6,42.78,26.23,8,0.0,8.742
4,Time 0 vs 8,65.0,20.36,8,0.0,6.786
4,Time 0 vs 10,86.0,22.61,8,0.0,7.535
4,Time 0 vs 12,113.22,26.15,8,0.0,8.717
4,Time 0 vs 14,123.56,26.44,8,0.0,8.814
4,Time 0 vs 16,145.22,18.73,8,0.0,6.244
4,Time 0 vs 18,168.33,17.36,8,0.0,5.788
4,Time 0 vs 20,193.0,15.18,8,0.0,5.06
4,Time 0 vs 21,197.67,13.5,8,0.0,4.501
